company_id,company_name,branch_name,address,city,region,phone,email,website,services,verification_status,source
sunbelt-rentals-scaffold,Sunbelt Rentals Scaffold Services,Miami Branch,"5650 NW 36th Ave, Miami, FL 33142",Miami,South Florida,"(305) 634-1441",,https://www.sunbeltrentals.com/location/fl/miami/scaffolding-equipment-rentals/1406/,"Scaffold services; access equipment",verified,https://www.sunbeltrentals.com/location/fl/miami/scaffolding-equipment-rentals/1406/
sunbelt-rentals-scaffold,Sunbelt Rentals Scaffold Services,Jacksonville Branch,"12200 Presidents Ct, Jacksonville, FL 32219",Jacksonville,North Florida,"(904) 751-4660",,https://www.sunbeltrentals.com/location/fl/jacksonville/scaffolding-equipment-rentals/71/,"Scaffold services; access equipment",verified,https://www.sunbeltrentals.com/location/fl/jacksonville/scaffolding-equipment-rentals/71/
sunbelt-rentals-scaffold,Sunbelt Rentals Scaffold Services,Tampa Branch,"4620 N Hale Ave, Tampa, FL 33614",Tampa,West Florida,"(813) 871-2700",,https://www.sunbeltrentals.com/location/fl/tampa/scaffolding-equipment-rentals/1702/,"Scaffold services; access equipment",verified,https://www.sunbeltrentals.com/location/fl/tampa/scaffolding-equipment-rentals/1702/
sunbelt-rentals-scaffold,Sunbelt Rentals Scaffold Services,Fort Myers Branch,"16190 Lee Rd, Fort Myers, FL 33912",Fort Myers,Southwest Florida,"(239) 332-5616",,https://www.sunbeltrentals.com/location/fl/fort-myers/scaffolding-equipment-rentals/1087/,"Scaffold services; access equipment",verified,https://www.sunbeltrentals.com/location/fl/fort-myers/scaffolding-equipment-rentals/1087/
sunbelt-rentals-scaffold,Sunbelt Rentals Scaffold Services,Ocoee / Orlando Branch,"801 Ocoee Apopka Rd, Ocoee, FL 34761",Ocoee,Central Florida,"(407) 877-7272",,https://www.sunbeltrentals.com/location/fl/ocoee/scaffolding-equipment-rentals/1725/,"Scaffold services; access equipment",verified,https://www.sunbeltrentals.com/location/fl/ocoee/scaffolding-equipment-rentals/1725/
united-rentals-scaffolding,United Rentals Scaffolding,Orlando Branch,"2901 40th St, Orlando, FL 32839",Orlando,Central Florida,"(407) 857-2300",,https://www.unitedrentals.com/locations/fl/orlando/scaffolding-rentals/38m,"Scaffolding rental and access solutions",verified,https://www.unitedrentals.com/locations/fl/orlando/scaffolding-rentals/38m
united-rentals-scaffolding,United Rentals Scaffolding,Tampa Branch,"5306 E Dr Martin Luther King Jr Blvd, Tampa, FL 33619",Tampa,West Florida,"(813) 620-0280",,https://www.unitedrentals.com/locations/fl/tampa/scaffolding-rentals/38k,"Scaffolding rental and access solutions",verified,https://www.unitedrentals.com/locations/fl/tampa/scaffolding-rentals/38k
united-rentals-scaffolding,United Rentals Scaffolding,Jacksonville Branch,"4601 Lenoir Ave, Jacksonville, FL 32216",Jacksonville,North Florida,"(904) 998-1812",,https://www.unitedrentals.com/locations/fl/jacksonville/scaffolding-rentals/38j,"Scaffolding rental and access solutions",verified,https://www.unitedrentals.com/locations/fl/jacksonville/scaffolding-rentals/38j
united-rentals-scaffolding,United Rentals Scaffolding,Fort Myers Branch,"16190 Lee Rd, Fort Myers, FL 33912",Fort Myers,Southwest Florida,"(239) 332-5616",,https://www.unitedrentals.com/locations/fl/fort-myers/scaffolding-rentals/38h,"Scaffolding rental and access solutions",verified,https://www.unitedrentals.com/locations/fl/fort-myers/scaffolding-rentals/38h
united-rentals-scaffolding,United Rentals Scaffolding,Pompano Beach Branch,"4101 N Powerline Rd, Pompano Beach, FL 33073",Pompano Beach,South Florida,"(954) 968-0000",,https://www.unitedrentals.com/locations/fl/pompano-beach/scaffolding-rentals/38r,"Scaffolding rental and access solutions",verified,https://www.unitedrentals.com/locations/fl/pompano-beach/scaffolding-rentals/38r
sunbelt-rentals-scaffold,Sunbelt Rentals Scaffold Services,Pensacola Branch,"6802 Pensacola Blvd, Pensacola, FL 32505",Pensacola,Florida Panhandle,"(850) 806-0495",,https://www.sunbeltrentals.com/location/fl/pensacola/equipment-tool-rentals/1776/,"Scaffold services; access equipment; material handling equipment",verified,https://www.sunbeltrentals.com/location/fl/pensacola/equipment-tool-rentals/1776/
sunbelt-rentals-scaffold,Sunbelt Rentals Scaffold Services,Riviera Beach Branch,"1850 Park Lane South, Jupiter, FL 33458",Jupiter,South Florida,"(561) 408-1800",,https://www.sunbeltrentals.com/location/fl/riviera-beach/scaffolding-equipment-rentals/1714/,"Scaffold services; access equipment",verified,https://www.sunbeltrentals.com/location/fl/riviera-beach/scaffolding-equipment-rentals/1714/
sunbelt-rentals-scaffold,Sunbelt Rentals Scaffold Services,Yulee Branch,"850979 US Highway 17, Yulee, FL 32097",Yulee,North Florida,"(904) 849-7300",,https://www.sunbeltrentals.com/location/fl/yulee/scaffolding-equipment-rentals/1770/,"Scaffold services; access equipment",verified,https://www.sunbeltrentals.com/location/fl/yulee/scaffolding-equipment-rentals/1770/
